student_id,age,gender,gpa,previous_enrollment,hours_studied,parent_education_level,participated_in_extracurriculars,attendance_rate,socioeconomic_status,enrollment_status
ST2000,23,Male,3.28,Yes,21,Master's,No,71,Low,No
ST2001,20,Female,2.17,No,13,Bachelor's,No,79,Low,Yes
ST2002,21,Male,2.32,Yes,37,Bachelor's,No,64,Low,Yes
ST2003,23,Male,3.8,Yes,24,High School,No,96,Medium,No
ST2004,19,Female,3.21,No,17,Bachelor's,Yes,97,High,Yes
ST2005,24,Male,2.02,No,32,Bachelor's,Yes,89,Low,No
ST2006,21,Female,2.2,No,33,Master's,Yes,68,High,No
ST2007,21,Female,3.33,Yes,17,Bachelor's,Yes,93,Low,No
ST2008,23,Female,2.01,No,39,High School,No,94,Low,No
ST2009,18,Male,2.32,Yes,10,Bachelor's,Yes,81,High,Yes
ST2010,19,Male,3.1,Yes,22,Master's,Yes,83,Medium,No
ST2011,23,Male,3.38,Yes,9,Master's,No,76,Low,Yes
ST2012,19,Male,3.3,Yes,29,Bachelor's,Yes,69,Low,Yes
ST2013,19,Male,2.45,No,6,Master's,Yes,89,Low,Yes
ST2014,24,Male,3.42,No,14,High School,Yes,82,High,Yes
ST2015,21,Male,2.47,Yes,34,High School,Yes,91,Medium,Yes
ST2016,20,Female,2.65,Yes,9,Bachelor's,Yes,76,High,Yes
ST2017,24,Male,3.49,Yes,37,Bachelor's,Yes,76,High,Yes
ST2018,24,Female,3.3,No,5,Bachelor's,No,73,Medium,Yes
ST2019,19,Male,3.7,Yes,22,Master's,No,68,High,Yes
ST2020,22,Male,3.32,Yes,36,High School,Yes,99,Medium,Yes
ST2021,21,Male,3.14,No,15,High School,Yes,61,Low,No
ST2022,18,Female,2.19,No,25,Master's,No,84,Medium,No
ST2023,24,Female,2.74,Yes,30,High School,Yes,98,Low,No
ST2024,20,Female,2.53,No,29,Bachelor's,Yes,68,High,Yes
ST2025,22,Female,2.49,No,26,Bachelor's,Yes,81,High,No
ST2026,22,Male,3.95,Yes,31,Bachelor's,No,63,Low,No
ST2027,18,Female,2.79,No,17,High School,Yes,85,High,No
ST2028,24,Male,3.78,Yes,37,Bachelor's,No,88,Medium,Yes
ST2029,20,Male,3.26,No,38,Master's,Yes,93,Low,Yes
ST2030,21,Female,3.59,Yes,39,Master's,No,82,High,Yes
ST2031,17,Female,3.01,Yes,5,High School,No,96,Low,Yes
ST2032,20,Female,3.15,Yes,25,Master's,Yes,70,Medium,No
ST2033,18,Female,2.99,No,10,Master's,No,65,Medium,No
ST2034,22,Female,2.39,Yes,32,High School,Yes,77,High,No
ST2035,21,Female,3.44,No,21,Bachelor's,No,80,Medium,No
ST2036,20,Female,2.56,Yes,9,Bachelor's,Yes,95,Low,Yes
ST2037,17,Female,2.05,Yes,35,Bachelor's,Yes,97,Medium,Yes
ST2038,17,Male,3.29,No,9,High School,No,93,Low,Yes
ST2039,19,Female,2.35,Yes,7,Master's,Yes,76,Low,No
ST2040,19,Female,3.88,Yes,27,Bachelor's,Yes,96,Medium,Yes
ST2041,23,Male,3.91,No,14,Bachelor's,No,84,High,Yes
ST2042,18,Female,3.83,Yes,14,High School,Yes,97,Medium,No
ST2043,24,Male,2.74,Yes,23,Bachelor's,Yes,71,Low,No
ST2044,20,Male,2.03,Yes,21,High School,No,82,Low,Yes
ST2045,20,Female,3.86,Yes,25,Master's,No,81,Medium,Yes
ST2046,24,Male,2.86,No,18,High School,Yes,80,High,Yes
ST2047,23,Male,3.93,No,13,High School,Yes,86,High,Yes
ST2048,22,Male,3.93,Yes,5,High School,No,90,Low,Yes
ST2049,22,Male,3.71,No,17,High School,No,65,Low,Yes
ST2050,23,Female,2.59,Yes,8,Master's,Yes,86,High,No
ST2051,22,Male,2.77,No,5,Master's,No,99,Medium,No
ST2052,19,Female,3.7,Yes,36,Bachelor's,Yes,93,Low,No
ST2053,20,Male,2.63,Yes,38,Master's,Yes,71,Low,Yes
ST2054,23,Male,2.34,Yes,32,Master's,Yes,66,High,No
ST2055,20,Male,3.11,Yes,35,Bachelor's,Yes,69,Medium,Yes
ST2056,24,Male,3.87,Yes,12,Master's,Yes,76,High,Yes
ST2057,17,Female,3.39,Yes,30,High School,No,85,Medium,No
ST2058,19,Female,3.14,No,38,High School,No,80,Medium,Yes
ST2059,21,Male,2.19,Yes,7,Bachelor's,No,87,Medium,Yes
ST2060,19,Male,3.23,No,16,Bachelor's,No,61,Low,No
ST2061,23,Female,3.98,Yes,5,Bachelor's,Yes,60,High,No
ST2062,21,Male,2.28,No,9,High School,Yes,95,High,No
ST2063,17,Male,3.04,No,34,Master's,Yes,85,Medium,Yes
ST2064,23,Male,3.75,No,34,High School,Yes,88,Low,No
ST2065,18,Female,3.48,Yes,21,Bachelor's,No,80,Low,No
ST2066,20,Female,3.39,Yes,27,Master's,Yes,70,High,Yes
ST2067,17,Female,3.4,No,19,Master's,Yes,99,Low,No
ST2068,20,Male,2.72,Yes,25,High School,No,70,Low,No
